score;text;klasifikasi
1;padahal gue blm sempet baca thread sama join tele nya jak;Positif
1;gw yakin sih bjorka itu bukan cebong or kadrun dia org netral heyy dokter situ berpendidikan cara ngomongnya gitu amat dok ud kaya buzzer oposisi klo ngulitin anies baswedan pasti situ langsung berfikir bjorka cebong;Positif
1;ente kadang kadang;Positif
1;hallo erick hai cunul;Positif
1;ide judul skripsi manajemen pemasaran follow ig for more untuk update judul dll yahhhh;Positif
1;pemerintah indonesia galak amat ya akun ke ilang lagi hey dibayar berapa sih buat lagi yuk;Positif
1;bjorka beri kado manis untuk menkominfo johnny gerard plate di hari ulang tahunnya pertanda perang dimulai;Positif
1;lapor polisi aja mas biar ga tuman manusia ga beradab itu;Positif
1;oh jadi kalau punya akses boleh ya dishare kirain yg bakalan ngasib tau nya kemenkes atau dinkes;Positif
1;baju tidur wanita baju celana beli disini viral;Positif
1;ide judul skripsi manajemen pemasaran follow ig for more untuk update judul dll yahhhh ngerisedap;Positif
1;yuk di lelang permen kiss produksi not normal nb disebelah kanan yang normal seblah kiri not normal;Positif
1;denny siregar heran kenapa hacker bisa mengenal dirinya bahkan ia mengungkapkan dalam tweetnya apakah dirinya terkenal hingga internasional atau sang hacker adalah orang lokal;Positif
1;tips untuk para pencari loker semangat mencari kerja jangan lupa download kerjapagi untuk memudahkan kalian dapetin kerjaan dgn cepat;Positif
1;agak ngebug dikit ya guys ya;Positif
1;berhubung harga bbm sedang naik gua mau kasih beberapa tips untuk menghemat bbm semoga membantu;Positif
1;sukses gelar kompetisi mobile legends di bekasi restu hapsari tmp sahabat kaum milenial;Positif
1;puan harap dpr indonesia uzbekistan eratkan kerja sama;Positif
1;bjorka teh ngopi;Positif
1;yuk aktifin yaaaa trending now bjorka munir pssi senin fifa cat;Positif
1;berani gak ya buka rahasia negara ke publik apa cuman buat gaduh aja;Positif
1;halo guys semoga kalian sehat selalu yang lgi butuh tinta printer ori untuk kebutuhan kantor dllnya bsa diorder ditoko kmi ya jenisepsoncanonhpbrother ngepep;Positif
1;gerbong survey para bedebah mereka sudah mulai bekerja;Positif
1;gojek lakukan penyesuaian tarif ojol dan layanan lainnya;Positif
1;cara investasi saham buat pemula berikut langkah sederhananya;Positif
1;dinkominfo temanggung verifikasi warga calon penerima stb ini jumlahnya selengkapnya;Positif
1;takut efek kipvi dok;Positif
1;yg jadi perhatian gua malah tentang daya guna data yg udah banyak terlanjur bocor ini untuk keperluan dalam mengakses pelayanan baik di sektor publik atau privat;Positif
1;gmn pemilu nanti kita serentak foto hasil coblos nya biar gk ada tipu kaya si doienak aja mau jadi presiden tapi gk bisa apa apa;Positif
1;ya yg pentinh happy kan;Positif
1;kasus sambo bjorkanism ngasih tanggapan di telegram real nya u can about sambo to him because sambo is his guy dan dengan data pribadi nya menteri dalam negeri muhammad tito karnavian atau jenderal polisi prof drs h muhammad tito karnavian ma apakah ada hub dgn bptito;Positif
1;agak aneh aja simotif kemunculan bjorka di sat kasus fs sama isue politik jgn byorka ini org bayaran bagian dalam kepemerintahan krena ada oknum mengancam data pemerintah akan di bocorkan jika ditahan akun sndiri baru join august kmaren;Positif
1;loh denny muslim ya;Positif
1;baiknya kita bergandeng tangan buat demo di dumay;Positif
1;membuat gaduh indonesia siapa sebenarnya bjorka lewat;Positif
1;kita lihat seberapa cerdas bjorka dibanding dalam mengungkap kasus sambo and gank;Positif
1;ada org yg menganggap adalah org pemuja petamburan;Positif
1;semoga allah membongkar aib para penjabat laknatullah melalui tukang rujak ini aamiin;Positif
1;tips tombol cepat menggunakan windows untuk mempercepat pekerjaan kamu;Positif
1;kemunculan ini disatu sisi adalah gerakan perlawanan oleh rakyat ini adalah momentum untuk menjadikan rakyat sebagai pelaku perubahan identifikasi rezim ini dan jatuhi hukuman saat pemilu nanti saya sebut ini adalah gate perubahan;Positif
1;alhamdulillah anta build design telah menyelesaikan pembangunan minimarket untuk pondok raudhatut tauhid di bogor semoga bermanfaat untuk kedepannya;Positif
1;secara gak langsung lah bikin anies melejit telah kembali welcome back mr;Positif
1;sebenernya banyak kasus yang pas untuk dialihkan alih pemerintah memperbaiki caranya kerja mereka malah nyewa hacker buat bikin rakyat indonesia geger dan lupa sama kasus yg lagi genting di indonesia gak juga sih ngarang aja gua;Positif
1;lah malah aku sing ditraktir wkwk kuy laah hahaha;Positif
1;buzzerrp ketarketir data nya udah di tangan siapa yg mo mampir ngopi k rumah di wonokromo;Positif
1;ssstttbiarin kadrun girang dl punya hero baru;Positif
1;ngapain emang reply punya lu ibarat diskusi sama domba ekwkkw;Positif
1;dm aja kak masih ready;Positif
1;takut kok sama akun yang up kenyataan takut sama tuhan;Positif
1;buy get free beli masker himalaya dapet free masker lagi bjorka shopee sekarang;Positif
1;lah iya bener bisa bantuin buka akun igku yg lupa password ga ya;Positif
1;penjelasan lengkap identitas asli pembunuh aktivis ham munir oleh hacker bjorka;Positif
1;flashsale hijab square rban bella square warna hijab segiempat dengan harga rp bisa cod dapatkan di shopee sekarang;Positif
1;ngurusin orang lu aja sebelum koma spasi dulu;Positif
1;padahal kita punya web sosial media kak;Positif
1;dengar jual beli serti aja pada heran;Positif
1;ya bener banget;Positif
1;tetep aja mengijinkan dan dukung maling ngacak acak rumah demi ngasih tau kalo satpamnya ga becus jagain rumah gitu;Positif
1;kang sup rs m r aya belum ketemu ini yang asli;Positif
1;ditebas juga sama burung biru tuh haker pager doyong kita liat apakah beneran ada pembalasan;Positif
1;oh gt ya dl hari langsung rebuan ga d sus yatwicter nachkal;Positif
1;buzzerrp ketarketir datanya udah di tangan siapa yg mau mampir ke rumah di wonokromo;Positif
1;ga tertarik dan ga ada kepentingan buat gue melakukan itu;Positif
1;karyawan swasta ya baik;Positif
1;dlu bjorka sebenernya tmen ngopi gw dan sering ke warnet bareng klo malem dia sering ngomongin tentang pc rakitan ilmu it dsb dlu diwarnet dia juga sering bgt ngjak mabar pb;Positif
1;bjorka jilid pasti lebih seru tunggu aja;Positif
1;sabar ya bang padhl niat abng baik;Positif
1;ya kalo tinggalnya di goa jelas gak dapet sinyal bro;Positif
1;cepet amat tele aman kah;Positif
1;langsung hilang ya akunnya;Positif
1;lah kita sama sama di padang bg;Positif
1;ga tertarik bahas bjorka moen;Positif
1;pesta sedang di mulai oleh;Positif
1;ternyata bjorka kagak jago jago amat wkwk;Positif
1;moga buat akun baru beliau;Positif
1;oooohhhiya ya buat cokel;Positif
1;terus pertamina dan keroco dpr dulu mereka lebih penting karena nyangkut orang lebih banyak wkwkwk;Positif
1;sabar presiden dulu;Positif
1;kukunya panjang amat;Positif
1;baru saja kepoin twitter nya ehk pas ngerefresh langsung ke suspended;Positif
1;cepet amat;Positif
1;wkwkwk elu yg harusnya keluar dr goa dunia ini luas boy elu aja yg terlalu fanatik di dunia kadrun sama cebong;Positif
1;ribuan nakes di luar negri pada resign krna menolak mandat mrka bs hdp jd menurut lu rejeki itu cm dr krja ga percaya tuhan ya;Positif
1;pengalihan sia kacaw lu boiii ok klo tolak ukur satu iye tuh strovian jual full bin sama polri plus kasih sampel beneran kejual karen tag pricenya udh diilangin mungkin tapi biasanya gitu sih di forum soal jualan data;Positif
1;ya emang elu aja nyerahin pengecut;Positif
1;nomor dalam provider sepengalaman pakai ya xl dan axis dianggap provider;Positif
1;ngesearch pake niknya puan di google langsung dapet;Positif
1;kamu tak paham ya bagaimana seorang denny siregar melawa org yg ngaku oposisi tp hari menjelekkan negaranya pemerintahan sendiri membuat kegaduhan dan mencoba membuat negara ini jatuhsmua pny kepentingan masingmasing tergantung dimana kamu berdiri;Positif
1;andai bjorka menjadi menteri kominfo indonesia pasti maju tanpa ganti pasword x setiap hari melebihi sholat wajib;Positif
1;ya bener gan wkwkwk;Positif
1;ada alamat buat kirim cod dildo;Positif
1;presiden klub inter milan aja;Positif
1;ini orang berani bgt smoga selamat ya;Positif
1;bnyk ya bg rikuesnya pasti msh bnyk lg tu hahaha;Positif
1;kapasitas otak penguasa sudah terlihat uganda emang kadang;Positif
1;udah rahasia umum kok di buat thread aneh;Positif
1;iya diluar perkiraan ya;Positif
1;nik dgn tgl lahir tdk sesuai;Positif
1;ilmu anyar suwon;Positif
1;anaknya mama sabai makin aktif yah;Positif
1;hayo mau chatan sama bu puan dipersilahkam;Positif
1;iya berarti gak punya suami dunk;Positif
1;yuk bisa yuk tinggal lord luhut ngab;Positif
1;film paling aneh di duniaminggu pertama penontonnya lebih banyak dedemitnyaminggu kedua tiba penontonnya banyak tapi tdk penuh yahekh selidik punya selidik ternyata yg nonton keluarga besarnyawkwkm;Positif
1;nah kan princes sama desi aja blm booster;Positif
1;apakah ini efek mknya uu pdp disahkan ok;Positif
1;ditunggu balasannya ya kak;Positif
1;pakde jokowi lulus ugm tahun berapa ya;Positif
1;wkkww geus pw make basa sunda aku teh pak da mun beneran bang jago mah pasti bisa bahasa naon wae;Positif
1;wkwkwk ini pasti hackker org lokal yg di ulas sekarang bang denny;Positif
1;wkwkwkwk woii kira donk ngomong gak perlu lebai gitu sadar kemampuan gak siih ngancam mo nangkap hackerplease come on wake up kid u just dreamt;Positif
1;terpantau masih aman namanya nunggu bentar lagi aja wkwkwk;Positif
1;masih percaya aja sama yg beginian;Positif
1;nah yuk bisa yuk;Positif
1;heran masih ada aja yang percaya sama parpol;Positif
1;lapor polisi x lapor bjorkanism v;Positif
1;pekerjaan karyawan swasta realita buzzer;Positif
1;hello bro bjorka coba bobol tabungan bank koruptor indonesia di singapura suwisse atau daerah lainnya kirim ke bca buat bantu rakyat miskin indonesia hayo jenius hacker;Positif
1;ingin terkenal dan kaya motif pemuda asal madiun terlibat hacker bjorka;Positif
1;gimna bos anggotanya kok makin ngaco halooohalooo pak;Positif
1;menteri koordinator bidang politik hukum dan keamanan menkopolhukam md mengklaim bahwa pemerintah berhasil mendeteksi;Positif
1;ditangkap di madiun siapa identitas hacker bjorka sebenarnya baca selengkapnya di sini;Positif
1;pemuda diduga hacker bjorka berhasil diamankan timsus polri polisi belum pasti masih didalami;Positif
1;diselidiki pasti ketemu tuh biang keroknya viral;Positif
1;polri dan bin sudah endus keberadaan hacker bjorka komisi i dpr langsung bikin panja;Positif
1;bjorka klarifikasi usai buat pemerintah indonesia ketarketir dan netizen heboh kirim salam ke jokowi;Positif
1;bang lagi boke nih minta uang belum jajan dri kemaren kirim di lewat gopay atau ovo aja bang kontak aku di databese abang ya xl bang;Positif
1;segelintir it di indonesia ketarketir lihat aksi bjorka gunakan 'ai' artificial intelligence;Positif
1;hacker bjorka mulai berani mendesak presiden jokowi melalui sebuah video;Positif
1;menkominfo akan hadapi hacker bjorka dengan cara ini johnny g plate selaku menteri komunikasi dan informasi menkominfo menyatakan pemerintah akan segera membuat emergency response team untuk;Positif
1;nama angelique sine nik tanggal lahir februari alamat jl rana blk no nama ibu ami resti permata nik tanggal lahir september;Positif
1;kepala sekretariat presiden buka suara usai viral klaim bjorka telah meretas dokumen penting presiden;Positif
1;hacker bjorka kembali membuat geger dengan unggahannya di kanal telegram bjorka tampak mengunggah data pribadi milik menteri komunikasi dan informatika johnny g plate waduh gimana tanggapan sobat vdvc;Positif
1;ribuan dokumen milik presiden jokowi dibobol hacker bjorka;Positif
1;hacker bjorka meretas ribuan dokumen milik presiden jokowi;Positif
1;lanjutkan misterbikin morat marit nih rezim;Positif
1;hahahahahahaha mulai manipulasi kasusnih kykny mau pengalihan isu sambo sama bbm;Positif
1;pemuda asal madiun unggah hasil retasan bjorka ke akun telegram kini dijerat pasal uu ite;Positif
1;mas biyorka bukanya org madiun ya;Positif
1;pertamina dalam bidikan;Positif
1;wokeh ditunggu ajalah;Positif
1;mantapp dan top markotopbongkar teruss;Positif
1;kmn ya x aja tau;Positif
1;ditunggu mas bjorka;Positif
1;lanjutkan brooo;Positif
1;apakah akun ini real lord bjorka;Positif
1;ini fake akun guys;Positif
1;mantap terus kan kawan;Positif
1;ada koni dalam bjorkanism;Positif
1;belum ada efek muncul nya untuk rakyat indonesiakhusus nya kami yg ekonomi rendahkok sibuk banget ya ngurusin hacker yg gak jelas tujuan nyakami butuh harga harga sembakobbm plndan yg laen pada turun pak karena itu lah yg kami butuh kan;Positif
1;sambil mantau bjorka ikutan jadi creator capcut enaknya ngedit template di gaji sambil rebahan aja;Positif
1;sesuai dugaan beberapa orang sebelumnya ternyata benar terbukti bahwa si '' tak lebih dari seorang hacker lokal yang menyarumenyamar menjadi hacker internasional;Positif
1;coba dong punya istri ga;Positif
1;semoga mimpi indah;Positif
1;kirim bang lewat tele;Positif
1;diduga bjorka mah sudah boleh pulang cek selengkapnya;Positif
1;lu sering nonton bang;Positif
1;selengkapnya klik link kumparan berikut;Positif
1;langganan coli bigonya;Positif
1;update terkini pesan hacker bjorka masih aktif di breached forum netizen yakin ini pengalihan isu;Positif
1;luar biasa ya negri ini sekarang;Positif
1;terbaru pemuda di madiun akhirnya dipulangkan bjorka ejek jokowi yang tetap buru dirinya semoga beruntung;Positif
1;kok gw ngerasa ini di duga di seting di ada adain khasus nya karena ga ketemu si pedagang es nge upload di channel kok gw ga percaya pedagang es chattan gtu sm hacker kaya aneh aja;Positif
1;yakin dehpolisi indonesia merupakan polisi terjenius di dunia;Positif
1;lebih percaya bjorka si daripada orang orang atas;Positif
1;hebat banget emang analisisnya gokil ini mah kuliah kajian wacana a saluttt;Positif
1;aksi bjorka buat pusing pemerintah siapakah sebenarnya banyuwangi memaafkan bonek kepala desa siang ryeowook lewat;Positif
1;hatihati saat berkendara ya adik adik;Positif
1;viral bjorka mengaku punya teman orang istana negara beri spoiler tentang nasib johnny g plate menkominfo;Positif
1;pikirkan dulu ya;Positif
1;mantap;Positif
1;kpu dashboard mobil;Positif
1;salfok sama giginya;Positif
1;bisa yakin kalo dah belajar mah;Positif
1;ng nt p cew m nd ab s ng gym;Positif
1;keliatan banget ya paniknya pejabat negeri ini membabi buta banget asal tangkep asal tuduh bisa di adili balik yakan kalo ga terbukti;Positif
1;postingan terbaru bjorka;Positif
1;kaget banget loh kirain pokemon ternyata ini gaes;Positif
1;jum'at barokahmenolak lupadan akan terus ingat;Positif
1;nivea mencerakan kulit dapatkan di;Positif
1;cek motor listrik selis tipe new robin dengan harga rp dapatkan di shopee sekarang;Positif
1;walah ternyata pelanggannya cik mei wkwkwk;Positif
1;presiden aja sudah tidak dihargai apalagi ini apakah ini benar;Positif
1;silahkan dipilih untuk baju dan hoodie dari brand house of smith;Positif
1;wkwk pdhl di luar negri ma samsung terkenal coy;Positif
1;javaplay situs game online terlengkap dan terpercaya;Positif
1;bisa bedain tulisan bjorkanism sama bjorkasim ga si ni yang nangkep wkwkwk;Positif
1;uhuy update terbaru dari bjorka semakin beradrenalin;Positif
1;alias bjorka sakitu weh ti pusat;Positif
1;mulutnya gak pernah nyium bangku sekolah makanya mulutnya bar bar;Positif
1;kirim dong link telegramnya;Positif
1;lu tuh ya cr follower youtube pakai twitter bjorka mana for android lg hati bro efeknya;Positif
1;akun baru bjorka udah ketemu nih;Positif
1;wkwkwk;Positif
1;siswi aliyah di trenggalek sabet juara ksm tingkat jatim ini kuncinya;Positif
1;cut mei terus cust mas denny ah ah ah ah enak ya semalam bang denny;Positif
1;varsity baseball by zett baseball gear size xl ld p bahan parasut tebal inner ketupat logo bordir lengan besar like new harga k sajaaa freeong in shopee;Positif
1;gldok burung parrot ukuran large kakatua triton mollucan kakatua raja macaw dll bahan kayu jati wa lokasi solo jawa tengah link shopee;Positif
1;yg asli ada badaknya;Positif
1;ngapain sih sibuk nyiduk kasus sambo lado juga gk kelar;Positif
1;salam booyah buat bjorka;Positif
1;simak beberapa aksi hacker yang membuat pemerintah ketarketir;Positif
1;fake yg asli selalu cantumin link telegramnya;Positif
1;keep it up ma bro semangat gan batee wkwkwk;Positif
1;search aja di tele bjorkanism;Positif
1;mahfud md sebut identitas bjorka sudah mulai teridentifikasi siapa sosok hacker itu sebenarnya;Positif
1;terjemahan;Positif
1;ketika pemerintah bikin timsus utk memburu bjorka manager om dedy corbuzier uda dapet kontaknyabgst;Positif
1;tunjuk theresa aja belum terkontaminasi;Positif
1;real engga;Positif
1;cikarang aja mas biar satsetsatset;Positif
1;iya juga ya;Positif
1;masalah nilai tukar dan ambruknya keuangan bumn energi jokowi racist cebong dudung kepala desa madiun farhan erika keisya nancy;Positif
